Year,Minimum,5th Percentile,Median,95th Percentile,Maximum,Area Mean
8300BP,17.1897963867,17.2580951538,17.9111520996,18.3513549194,18.4074060059,17.8487102187
8280BP,15.7803054199,15.907652832,16.5640539551,17.1407973633,17.2394006348,16.555374395
8260BP,16.1367019043,16.1580020752,16.8846506348,17.3542098389,17.3663842773,16.8036241346
8240BP,16.1222854004,16.2273898926,17.0167062988,17.646824585,17.7131982422,16.982672932
8220BP,15.6969008789,15.8391286621,16.5437020264,17.1301969604,17.231496582,16.5272323271
8200BP,15.9014968262,15.9985233154,16.7915994873,17.4281234131,17.5117944336,16.7505254516
8180BP,16.2589064941,16.3136813965,17.0290445557,17.5608291016,17.5869042969,16.9806360806
8160BP,16.2976943359,16.3672473755,17.105451416,17.6900313721,17.7257104492,17.069561557
8140BP,15.3835952148,15.4859958496,16.237848877,16.8178557739,16.8930078125,16.1961328783
8120BP,15.906703125,16.0198261108,16.7714975586,17.3171538696,17.4117028809,16.7165368526
8100BP,16.0885024414,16.2708272705,17.1176522217,18.1575819092,18.2662072754,17.2225324089
8080BP,16.4451003418,16.5691015015,17.2329995117,17.8457716064,17.9330957031,17.2384531982
8060BP,15.9160964355,16.0410724487,16.8234082031,17.4586439209,17.5633935547,16.7900271578
8040BP,15.5173049316,15.634630188,16.3726022949,16.954119812,16.9976953125,16.3507230523
8020BP,15.6587966309,15.7892963257,16.6293009033,17.3258712158,17.4338952637,16.5976507476
8000BP,15.511390625,15.6168414917,16.5788494873,17.298524292,17.4305993652,16.4983134225
7980BP,17.0180983887,17.0494006958,17.9105966797,18.473953186,18.5211022949,17.8096091565
7960BP,15.9758925781,15.9962711182,16.8095987549,17.3541259155,17.3855004883,16.7187205604
7940BP,17.2008071289,17.3127826538,18.1143442383,18.7168044434,18.8209069824,18.0587246127
7920BP,17.0459975586,17.2171209106,17.9887459717,18.9114790039,18.993404541,18.0829233724
7900BP,16.6952956543,16.8330219116,17.4519024658,18.0935804443,18.1757043457,17.4875689019
7880BP,17.4263076172,17.4992542114,18.2642956543,18.7932554321,18.8873071289,18.1851976743
7860BP,16.8469924316,16.8991687622,17.6686960449,18.2751952515,18.2885949707,17.6297420834
7840BP,17.9098098145,18.0391330566,18.7532480469,19.3139037476,19.4110009766,18.72100786
7820BP,17.1746962891,17.3158727417,18.0831917725,18.7540037231,18.8425073242,18.0808118446
7800BP,16.6574050293,16.7750049438,17.5007946777,18.1168241577,18.2202966309,17.4774541289
7780BP,17.2470961914,17.4104970703,18.1404580078,19.0357191162,19.1178918457,18.2362156027
7760BP,17.0774978027,17.1462497559,17.9841989746,18.5655532227,18.6110070801,17.9104408609
7740BP,17.8019057617,17.9204547729,18.7102518311,19.2395491943,19.3258996582,18.6416700847
7720BP,16.9607009277,17.1048007813,17.8149945068,18.5306577759,18.6148095703,17.847300613
7700BP,17.1735976563,17.2858478394,18.0505960693,18.5839522705,18.6493066406,17.995637058
7680BP,17.7704970703,17.9167974243,18.6163033447,19.1550748901,19.2375024414,18.5932290313
7660BP,17.8667922363,17.9612705078,18.6012979736,19.0555541382,19.0894067383,18.5643933036
7640BP,17.0513930664,17.1909976807,17.9992990723,18.6369048462,18.7351098633,17.9648237567
7620BP,17.3624953613,17.4256732788,18.3485544434,18.979850708,19.0378015137,18.2579529777
7600BP,17.2115065918,17.3232044067,18.0161508789,18.5461745605,18.6318994141,17.9777814298
7580BP,18.1459060059,18.2476550903,18.7586466064,19.1386565552,19.1703088379,18.7432009335
7560BP,18.1211928711,18.1944690552,18.7399912109,19.1071807251,19.13890625,18.6983783182
7540BP,17.1831069336,17.3088550415,18.1414499512,18.7986998901,18.9042016602,18.0981229403
7520BP,16.7427993164,16.8732473145,17.5266976318,18.1337003784,18.210201416,17.5389783279
7500BP,17.0259902344,17.1387424316,17.8224039307,18.4272811279,18.5166040039,17.8114651578
7480BP,17.3058059082,17.4304296265,18.1536446533,18.7022962646,18.8044946289,18.1124776154
7460BP,16.3365126953,16.4234332886,17.1967539062,17.8282821045,17.8988061523,17.1609039215
7440BP,17.0547072754,17.1778310547,17.8277993164,18.402720459,18.5007958984,17.8199936508
7420BP,17.6840957031,17.7716220703,18.5844431152,19.1935454712,19.2677941895,18.5269817885
7400BP,16.8542006836,16.9661992798,17.5515969238,18.0485258179,18.127199707,17.5413359263
7380BP,16.4598037109,16.5933521118,17.2846051025,17.8727293091,17.9681054687,17.2716279844
7360BP,16.7881911621,16.9258670654,17.5913553467,18.1159728394,18.2045983887,17.5686096639
7340BP,17.3209975586,17.4265476074,18.2360025635,18.8183242187,18.9207971191,18.1689624646
7320BP,16.7201003418,16.854074646,17.5905493164,18.2172484741,18.3264978027,17.5715723905
7300BP,17.4485,17.5804265747,18.2911538086,18.9529035645,19.0484033203,18.2982250582
7280BP,16.7879042969,16.907578064,17.5705513916,18.2227033691,18.313503418,17.5873544388
7260BP,17.5746047363,17.6922046509,18.5889050293,19.2710233765,19.3546960449,18.5382044042
7240BP,16.3554030762,16.4730274048,17.2028421631,17.7720916138,17.8765893555,17.1616659316
7220BP,17.6308974609,17.7924978027,18.591300293,19.4184980469,19.5310998535,18.6304034204
7200BP,16.8236953125,16.9683461914,17.72384729,18.3929761963,18.518001709,17.7115881924
7180BP,16.5595961914,16.6739459839,17.384748291,17.8801558838,17.9589074707,17.331896346
7160BP,17.0926101074,17.2313070068,17.8980050049,18.5173795776,18.5959069824,17.9119817295
7140BP,16.5088942871,16.6390203247,17.281546875,17.9410200195,18.0215966797,17.3139434258
7120BP,16.5762038574,16.7158529053,17.4586037598,18.205744751,18.2904931641,17.4910251883
7100BP,17.6121962891,17.6880727539,18.1495980225,18.5214979248,18.5582971191,18.1402615445
7080BP,16.4622023926,16.5611774292,17.1995981445,17.7625777588,17.8426049805,17.1874152382
7060BP,17.1703933105,17.2721425781,17.9429024658,18.4691053467,18.5363061523,17.9176773613
7040BP,17.4340957031,17.5886953125,18.402451416,19.2325498657,19.343404541,18.436216729
7020BP,17.1812941895,17.2904210815,17.896402832,18.3625898437,18.4444909668,17.8666780819
7000BP,17.3180983887,17.3854724731,18.1337015381,18.6995742187,18.742598877,18.0850489828
6980BP,16.6129042969,16.7667791138,17.5527932129,18.3208509521,18.4251000977,17.5759213249
6960BP,17.1329970703,17.2665469971,18.0246530762,18.6075988159,18.709798584,17.9850695456
6940BP,16.2596999512,16.3888997803,17.0598946533,17.6268796997,17.709005127,17.0506988897
6920BP,16.7935012207,16.9530751953,17.741098877,18.5159971313,18.6275964355,17.7647058784
6900BP,15.8078994141,15.8880498657,16.4590493164,16.7574293213,16.8120080566,16.3840673924
6880BP,17.5203017578,17.6288028564,18.362848877,18.959348999,19.0371972656,18.3340161065
6860BP,17.0209060059,17.1568547974,17.7996987305,18.445272644,18.5429956055,17.8228317899
6840BP,16.8168959961,16.9454961548,17.6066506348,18.2533933716,18.3503930664,17.6216695629
6820BP,17.1553969727,17.2824743042,17.8618996582,18.4780057983,18.5458093262,17.9033850857
6800BP,16.1380019531,16.2583515015,16.8986065674,17.3678846436,17.4499108887,16.8615579167
6780BP,17.1781081543,17.2978549805,18.186600708,18.8206969604,18.9155969238,18.1181137765
6760BP,16.3289077148,16.4772557983,17.3121010742,18.1955076294,18.2860070801,17.3634782778
6740BP,16.7500991211,16.8782750854,17.6275460205,18.2454008179,18.3508996582,17.6023397915
6720BP,17.5651015625,17.6845020142,18.4076580811,19.0541013794,19.1662988281,18.3933139466
6700BP,17.5975966797,17.6974492798,18.4240487061,19.0409238892,19.102199707,18.4142123739
6680BP,17.9606032715,18.0706546631,18.7206522217,19.2374297485,19.3113122559,18.6949170333
6660BP,17.4413039551,17.542078186,18.2389534912,18.6938535767,18.7751062012,18.174615136
6640BP,18.1780959473,18.2870458374,18.8691445313,19.3522977905,19.4311975098,18.8542255112
6620BP,17.452796875,17.5620471802,18.2628519287,18.8876448975,18.9697961426,18.2536815346
6600BP,17.0099990234,17.1168218384,17.7513039551,18.1880521851,18.2775048828,17.6993429771
6580BP,16.8789077148,16.9965047607,17.6855507812,18.1606733398,18.2418969727,17.6353250945
6560BP,16.906098877,17.042947937,17.7471929932,18.4120192871,18.5082910156,17.7562553258
6540BP,17.5004042969,17.5935033569,18.1650976562,18.5726546631,18.6355065918,18.1273990087
6520BP,17.3630019531,17.465350708,18.1547495117,18.770046936,18.8516992187,18.1438613488
6500BP,16.3925063477,16.5259816895,17.2188546143,17.8649198608,17.9669946289,17.2237662807
6480BP,16.9687026367,17.0597005615,17.6926522217,18.0666486816,18.1359033203,17.6224941266
6460BP,16.7237990723,16.8151998291,17.3305489502,17.652682312,17.7128076172,17.2829944339
6440BP,18.1739943848,18.2662954102,18.862595459,19.1965513306,19.2736047363,18.7880413496
6420BP,17.2923964844,17.3980687866,17.9194036865,18.3511184082,18.3957910156,17.9156291425
6400BP,16.7131911621,16.8070668945,17.2605505371,17.7139907227,17.7659875488,17.2797885735
6380BP,17.7560012207,17.8785024414,18.5450966797,19.1991529541,19.3158044434,18.5520909123
6360BP,16.0253005371,16.1317998657,16.7476967773,17.2084928589,17.2848901367,16.714598791
6340BP,16.8363051758,16.9666812744,17.7111981201,18.3320539551,18.4372033691,17.6872514184
6320BP,17.4380019531,17.564078125,18.2190469971,18.8106536255,18.8999047852,18.2180046844
6300BP,16.965296875,17.0729970703,17.7174996338,18.3704969482,18.4566003418,17.7391308612
6280BP,17.0755996094,17.1541507568,17.5836008301,17.8909804687,17.9351037598,17.5586570632
6260BP,16.4675979004,16.5923236694,17.2548504639,17.8352766113,17.9308984375,17.245567812
6240BP,16.76490625,16.8873021851,17.5145516357,18.0905698853,18.1737939453,17.5194929725
6220BP,16.2317946777,16.3572225342,17.0991433105,17.9132307129,17.9780053711,17.1590618095
6200BP,15.6932998047,15.8262502441,16.5304482422,17.1156766968,17.205501709,16.5149100362
6180BP,16.8307937012,16.9825216064,17.709104248,18.3300413208,18.414888916,17.70618983
6160BP,16.6399978027,16.7596225586,17.479947876,18.0560454712,18.1494958496,17.4484367759
6140BP,16.0136000977,16.1393497314,16.8533520508,17.4013700562,17.4834924316,16.8207567821
6120BP,16.810597168,16.9293966064,17.6248970947,18.2956068115,18.3708093262,17.6433979907
6100BP,16.4781020508,16.5906268921,17.1479501953,17.6054488525,17.6777001953,17.1346703052
6080BP,17.0480056152,17.193376709,18.020395752,18.743395813,18.8424951172,18.0141350678
6060BP,16.5086013184,16.5921758423,17.0006048584,17.3606505737,17.3940026855,17.0056882771
6040BP,17.0018996582,17.1367254028,17.926657959,18.4938261108,18.5800012207,17.879883305
6020BP,17.2047988281,17.3323217163,18.0008431396,18.5118543701,18.5988061523,17.9704867671
6000BP,17.7498977051,17.8814229736,18.5728005371,19.2268476562,19.3195947266,18.5839572896
5980BP,16.9921889648,17.107237793,17.7774971924,18.2795164185,18.3792871094,17.7354236094
5960BP,17.7128005371,17.8145498047,18.2666967773,18.7350997314,18.7610986328,18.301959664
5940BP,16.927796875,16.9595510254,17.437800415,17.6550288696,17.6829064941,17.3604992585
5920BP,17.5069960938,17.6224233398,18.2665963135,18.8467054443,18.9407067871,18.2618055241
5900BP,17.6630996094,17.7822271118,18.496894165,19.056425293,19.1610009766,18.4598672124
5880BP,17.8911086426,17.9798816528,18.4857034912,18.8862700806,18.9284936523,18.4708076989
5860BP,18.0632033691,18.1508807983,18.6754465332,19.1593276367,19.1940026855,18.6839633914
5840BP,17.5948928223,17.714369751,18.4676003418,19.0100782471,19.1003015137,18.4184924322
5820BP,17.3857009277,17.4921985474,18.164954834,18.7224454956,18.8130944824,18.1395774578
5800BP,16.540095459,16.6277196655,17.3708504639,17.8350477295,17.9215966797,17.2897747126
5780BP,16.7622023926,16.887100769,17.6661477051,18.3581983643,18.4528955078,17.6600069217
5760BP,18.069404541,18.1396777954,18.9309488525,19.532875,19.5839990234,18.8788001931
5740BP,17.7791030273,17.9170766602,18.608600708,19.2155698853,19.3023950195,18.6073430794
5720BP,16.1716933594,16.2867955933,16.972751709,17.4889020996,17.5601037598,16.9415923647
5700BP,17.0198012695,17.1535238037,17.8454018555,18.3746397095,18.4581872559,17.8173865961
5680BP,17.4039016113,17.5144031372,18.1556040039,18.7230788574,18.7901025391,18.1518593103
5660BP,17.3475966797,17.4796483765,18.310352417,19.0378416138,19.1265893555,18.3047656271
5640BP,17.6630019531,17.7799764404,18.4833962402,19.0879987793,19.1855981445,18.4680841668
5620BP,16.1745986328,16.2857991943,16.9767006836,17.5111036377,17.5863061523,16.9473033485
5600BP,17.4883925781,17.5969211426,18.2410013428,18.8187758789,18.9003015137,18.2346844328
5580BP,16.7081008301,16.8159002075,17.5688485107,18.2241239624,18.2802941895,17.5685696595
5560BP,17.048701416,17.1346013794,17.7321480713,18.2279966431,18.289095459,17.7169227149
5540BP,16.5601943359,16.6962987671,17.4796975098,18.0421522217,18.1521020508,17.4247985183
5520BP,17.3957961426,17.516447998,18.2117956543,18.7498214111,18.8597924805,18.1719875748
5500BP,16.8001113281,16.9001088867,17.5551949463,18.0311430054,18.1304956055,17.5049755406
5480BP,17.4429030762,17.5885534058,18.375800415,19.1740522461,19.2888024902,18.4026253615
5460BP,17.0948928223,17.2174718628,17.921793457,18.5036710815,18.6023950195,17.8991119396
5440BP,16.2811049805,16.404604126,17.1510537109,17.7632963257,17.8614953613,17.1261277542
5420BP,16.203401123,16.3343250122,16.9533520508,17.5990247803,17.6790002441,16.9886647445
5400BP,18.1924941406,18.3315967407,19.1541455078,19.8604017334,19.9782006836,19.1323771315
5380BP,16.6256911621,16.7518956909,17.4928505859,18.0352033691,18.127401123,17.4482476398
5360BP,17.2193068848,17.3320285645,18.0931497803,18.6579451904,18.7549951172,18.0407979435
5340BP,17.4146071777,17.5192571411,18.1721993408,18.6271940308,18.7129907227,18.1213549221
5320BP,16.5829909668,16.7148671875,17.522953125,18.2747419434,18.3410913086,17.5414003067
5300BP,17.0809951172,17.1898456421,17.9979471436,18.6050963745,18.7092919922,17.9405058815
5280BP,16.6721022949,16.7495519409,17.3662484131,17.8175245361,17.8870996094,17.3243337367
5260BP,16.7201003418,16.8613515625,17.6023049316,18.2457441406,18.3420922852,17.5956241535
5240BP,16.7689040527,16.8749273071,17.4614022217,17.9531797485,18.0178063965,17.4528007874
5220BP,16.886994873,17.0207723389,17.7583931885,18.3731687622,18.4684899902,17.7405831988
5200BP,17.2141982422,17.3652469482,18.1436960449,18.8486220703,18.9729943848,18.1380033291
5180BP,16.497895752,16.617946228,17.4771982422,18.1165770874,18.213503418,17.4195322491
5160BP,16.1203017578,16.2412999878,16.9491005859,17.4350721436,17.521895752,16.8958350879
5140BP,17.3565993652,17.4638005981,18.0215462646,18.5625715332,18.6330957031,18.0370362244
5120BP,16.2661025391,16.3626760254,17.0742531738,17.5924207764,17.685994873,17.021431019
5100BP,16.0078994141,16.1298238525,16.7736031494,17.3346571045,17.4093103027,16.7715139966
5080BP,17.3413039551,17.4670291748,18.0978983154,18.6740249023,18.7579003906,18.100832145
5060BP,15.5423049316,15.6660787354,16.3426430664,16.8932020264,16.9789025879,16.3228301337
5040BP,16.5487990723,16.6767736206,17.3194954834,17.8872739868,17.9665002441,17.319917789
5020BP,15.895197998,16.016925415,16.6448496094,17.2037108765,17.267611084,16.647822103
5000BP,16.7107009277,16.8534993896,17.5919503174,18.2509504395,18.3453027344,17.5919164175
4980BP,16.5408095703,16.6713567505,17.3714516602,17.9506055908,18.0529077148,17.3496516859
4960BP,17.3738967285,17.4903463135,18.1202032471,18.6249038086,18.7085046387,18.0972044775
4940BP,15.9329909668,16.031845459,16.5657510986,17.0692443237,17.1066918945,16.5809273553
4920BP,17.2003920898,17.2969442139,17.9415993652,18.3779707031,18.4563989258,17.8876538524
4900BP,16.5508010254,16.641927124,17.2445992432,17.6893079834,17.7655114746,17.2059685261
4880BP,16.6018996582,16.7063726196,17.396390625,17.8840040283,17.9464074707,17.3541689729
4860BP,16.0799941406,16.1974187622,16.8957497559,17.4687254028,17.5813012695,16.8650130273
4840BP,16.6899978027,16.7828984985,17.3542550049,17.7831495361,17.839699707,17.3282709447
4820BP,17.0693984375,17.183875061,17.758951416,18.2367263184,18.3075036621,17.747958754
4800BP,16.6680983887,16.7815236816,17.5683022461,18.1918989258,18.300802002,17.5275421244
4780BP,16.7052993164,16.8275258789,17.5845955811,18.2387785034,18.3600061035,17.561654862
4760BP,16.6497023926,16.7622289429,17.4101479492,17.9009244995,17.9787011719,17.3785335807
4740BP,17.2015944824,17.3155462036,18.0288521729,18.6371229248,18.7202966309,18.0160897668
4720BP,16.8956923828,17.0074941406,17.6248571777,18.0968261108,18.1784020996,17.5941023565
4700BP,16.7123061523,16.8606542358,17.6845009766,18.2893980103,18.4020959473,17.6339148803
4680BP,16.6687941895,16.7862203369,17.5383522949,18.0855268555,18.177199707,17.4899644136
4660BP,16.6915969238,16.7769475708,17.5083077393,17.9074338989,17.9791101074,17.4131505238
4640BP,16.6709914551,16.7983419189,17.4544960937,18.0273817139,18.129708252,17.4436526266
4620BP,18.6094008789,18.7194751587,19.4940531006,20.0803954468,20.1776940918,19.4432134046
4600BP,17.8041030273,17.9027776489,18.4542028809,18.7350066528,18.7955102539,18.3832699292
4580BP,16.0469008789,16.1479741821,16.7807076416,17.2593442993,17.3479943848,16.742322559
4560BP,17.066090332,17.1783681641,17.9173500977,18.421230896,18.5176049805,17.8543032738
4540BP,16.7227004395,16.8628255615,17.5803505859,18.2289075928,18.3405114746,17.5766548707
4520BP,17.6045058594,17.7257299194,18.3707006836,18.8699263916,18.9466027832,18.3446985894
4500BP,17.1836867676,17.2741657104,17.9655985107,18.6190978394,18.6628930664,17.9734273619
4480BP,16.5929091797,16.7288579712,17.4333474121,18.0517744141,18.1621972656,17.4229140448
4460BP,16.6472976074,16.7778753052,17.4963509521,18.2453565674,18.3195092773,17.5392349021
4440BP,17.0703078613,17.1787069092,17.7449562988,18.0899549561,18.1470056152,17.6958670212
4420BP,16.9830947266,17.1020971069,17.7874001465,18.4056043701,18.4975061035,17.7849717199
4400BP,17.3972060547,17.5256810913,18.1512490234,18.6403013306,18.7205041504,18.1300146923
4380BP,16.5125014648,16.6345510254,17.3304512939,17.9406049805,18.0291040039,17.3237212403
4360BP,16.7823012695,16.8630269775,17.381104126,17.6692992554,17.7092004395,17.3239892476
4340BP,16.4362075195,16.5409307251,17.3098549805,17.8587492065,17.9324975586,17.2601839413
4320BP,15.3398024902,15.4514255371,16.0452493896,16.5989730225,16.6898950195,16.046053738
4300BP,15.9237075195,16.048428894,16.8156533203,17.5229810791,17.6104089355,16.8216668032
4280BP,16.428791748,16.5381185303,17.0909981689,17.5930784302,17.6560021973,17.0980909539
4260BP,16.0823989258,16.1867023315,16.7671030273,17.2791503296,17.3183007812,16.7710231918
4240BP,15.4480910645,15.5981191406,16.2835946045,17.0234754639,17.118001709,16.331249899
4220BP,16.4221083984,16.5151830444,17.2189553223,17.736302002,17.818203125,17.172037006
4200BP,16.3006972656,16.4339498291,17.2661965332,17.9332502441,18.0493005371,17.2287934328
4180BP,16.7331008301,16.8649755249,17.6209511719,18.2091001587,18.3123010254,17.5845909883
4160BP,15.9975112305,16.1207814941,16.7613442383,17.3883741455,17.4777978516,16.7779117083
4140BP,16.9167006836,17.0437017212,17.7382576904,18.3336439209,18.4240930176,17.7277327237
4120BP,16.4329055176,16.5189794312,17.1268499756,17.5367980347,17.6149987793,17.0712431148
4100BP,16.4083937988,16.5379949341,17.2074044189,17.810281189,17.9206079102,17.2005095634
4080BP,15.6973037109,15.8512029419,16.5956063232,17.2567426758,17.3616906738,16.5946779977
4060BP,17.2627028809,17.3733007202,18.0360512695,18.6512281494,18.735402832,18.0403266994
4040BP,15.9534072266,16.0390050659,16.6884041748,17.1294996338,17.2128015137,16.6294803755
4020BP,16.9311049805,17.0284505615,17.5021490479,17.9669509277,18.0281030273,17.516941118
4000BP,16.789302002,16.9141271362,17.6747078857,18.4181226807,18.5092004395,17.6942789315
3980BP,15.4289016113,15.5620519409,16.2872506104,16.8960813599,17.0100061035,16.2643047899
3960BP,17.2600966797,17.3513738403,17.9692055664,18.4677167969,18.5324914551,17.9493085741
3940BP,17.8445021973,17.9501254883,18.6162027588,19.237020813,19.3195947266,18.6154554379
3920BP,16.5008010254,16.5878240356,17.2245031738,17.5609572754,17.6316064453,17.1377746575
3900BP,16.5076918945,16.5776448975,17.1694405518,17.5023283081,17.5695031738,17.0933847465
3880BP,17.7323989258,17.8210241089,18.4728463135,18.8841169434,18.9641931152,18.405033107
3860BP,16.1635939941,16.2822192993,16.9437021484,17.5185592041,17.6114099121,16.9307303374
3840BP,15.9629958496,16.111697937,16.8787056885,17.5452467041,17.6563989258,16.8684983634
3820BP,16.7900039063,16.9033757935,17.5447060547,18.0108244019,18.0974023437,17.5038349107
3800BP,16.0485061035,16.1652532349,16.9906960449,17.6910947876,17.7772973633,16.9746968394
3780BP,15.7210036621,15.8061528931,16.4868050537,16.9050993042,16.9542993164,16.4231668509
3760BP,15.7636000977,15.8422994385,16.4260964355,16.8742719727,16.9580957031,16.3879590326
3740BP,16.6520949707,16.7900701294,17.5152504883,18.152354248,18.2609033203,17.5055771358
3720BP,15.7833083496,15.8730046997,16.5676064453,16.9603742676,17.0378991699,16.4808233958
3700BP,17.1397902832,17.2024938354,17.7718054199,18.0556517944,18.1277001953,17.680964424
3680BP,16.6603041992,16.7394246826,17.4056496582,17.7917249756,17.8857995605,17.3163975818
3660BP,16.3675002441,16.465251709,17.2701485596,17.9116193848,17.9976953125,17.2342972643
3640BP,15.6195021973,15.7329534302,16.5425026855,17.1774076538,17.2794091797,16.501584452
3620BP,16.6716018066,16.7912252197,17.4490517578,17.9819471436,18.0754968262,17.4247133391
3600BP,17.5054030762,17.6312017212,18.3517525635,18.9735014038,19.0882043457,18.3323087264
3580BP,15.7462111816,15.8690084229,16.5829016113,17.1783736572,17.272097168,16.5620076778
3560BP,16.5564040527,16.653130127,17.4281014404,17.9444471436,18.0463952637,17.3517214347
3540BP,15.9456923828,16.0314946899,16.7102456055,17.1608289795,17.2314050293,16.6505062525
3520BP,15.6562026367,15.7313039551,16.3708046875,16.7863233643,16.8608972168,16.306826195
3500BP,16.1197036133,16.2164785156,16.7956032715,17.2129423218,17.2942895508,16.7544099352
3480BP,17.4099929199,17.5164449463,18.2056984863,18.7779050903,18.8508081055,18.1894368695
3460BP,16.5497023926,16.680826355,17.3360510254,17.9156325684,17.9943078613,17.3360995918
3440BP,16.9471999512,17.0614003906,17.7032049561,18.1784285889,18.2687036133,17.6637380331
3420BP,17.0616896973,17.1642185059,17.8683023682,18.4907531128,18.5754052734,17.8538633755
3400BP,15.6717971191,15.7823247681,16.5585579834,17.2000791626,17.293605957,16.5326439213
3380BP,15.757697998,15.8609746704,16.5704995117,17.0949720459,17.1748986816,16.52825988
3360BP,16.0184951172,16.1590215454,16.8404030762,17.4700056152,17.5573083496,16.8512770476
3340BP,16.0414016113,16.1682271729,16.9079049072,17.6398481445,17.71859375,16.935361238
3320BP,17.1496962891,17.2483724365,17.8016427002,18.2533536987,18.3065026855,17.7920475186
3300BP,16.5694899902,16.6916921387,17.3675942383,17.9917478638,18.064095459,17.3787189649
3280BP,15.7504958496,15.8395726929,16.4639504395,16.9376676636,16.9956872559,16.4351347418
3260BP,16.6298171387,16.7433873901,17.3546456299,17.7810529785,17.8517053223,17.3152636356
3240BP,17.0677932129,17.1899951782,17.819553833,18.404673584,18.4954980469,17.8236336781
3220BP,17.106098877,17.1875722656,17.8031075439,18.1822462158,18.2429956055,17.7412470749
3200BP,16.3864943848,16.4931188354,17.1220986328,17.636868103,17.7295922852,17.0976413506
3180BP,16.1768996582,16.272774292,16.9873482666,17.5234556274,17.5793054199,16.9548247949
3160BP,16.7948012695,16.9128255615,17.7003487549,18.3200544434,18.3881005859,17.6753618183
3140BP,16.3780959473,16.4892980347,17.2558999023,17.7694242554,17.8530969238,17.1926495008
3120BP,17.8625014648,17.9611760864,18.5516976318,19.0438779907,19.0893029785,18.5476901508
3100BP,16.8842971191,16.9715734253,17.6165505371,18.1010252075,18.1670007324,17.5814738772
3080BP,16.6845961914,16.7913213501,17.4391488037,17.9326231079,18.0113977051,17.4068999275
3060BP,17.1886000977,17.2867498169,17.8264504395,18.21684552,18.2772973633,17.7963199209
3040BP,17.2804030762,17.3795263062,17.9269051514,18.3304945068,18.3969934082,17.8974360477
3020BP,16.7531936035,16.8965673218,17.59549646,18.2897047119,18.3654077148,17.62875585
3000BP,18.0785964355,18.1683980713,18.7729958496,19.1298276978,19.2036035156,18.7041844983
2980BP,17.4980056152,17.5875539551,18.2892983398,18.7444776611,18.8291040039,18.2196532402
2960BP,17.014503418,17.109203125,17.717295166,18.1943754272,18.2554040527,17.6955144557
2940BP,17.4622023926,17.5908544312,18.2944985352,19.0164487915,19.0969018555,18.3294571468
2920BP,17.189894043,17.2805700073,17.9168496094,18.3604749756,18.4313989258,17.8697367836
2900BP,16.6436049805,16.7474782715,17.3739968262,17.9411512451,18.0128015137,17.3758626907
2880BP,16.8126052246,16.9037542114,17.5624978027,18.0003690796,18.0860925293,17.5009590448
2860BP,17.0227980957,17.1366735229,17.8530523682,18.3852370605,18.5016137695,17.8003565896
2840BP,15.7325942383,15.834921814,16.4696508789,16.8685439453,16.9531945801,16.4049424542
2820BP,17.1540969238,17.2238988647,17.8101998291,18.134083374,18.2023095703,17.7321926371
2800BP,16.0995986328,16.2046254883,16.9316536865,17.4918241577,17.5977990723,16.8868869245
2780BP,15.9765090332,16.0562322388,16.6093453369,16.9301969604,16.981697998,16.5494632812
2760BP,16.8382155762,16.9219609985,17.5259072266,18.0200758057,18.0990014648,17.5006546751
2740BP,16.0983046875,16.2194036255,16.9320534668,17.5603269653,17.6542993164,16.9245412745
2720BP,16.8904067383,17.0031774292,17.8096505127,18.4358778076,18.5337060547,17.7678129217
2700BP,16.3342971191,16.4463735352,17.1624978027,17.728022583,17.8304956055,17.1256658399
2680BP,15.8211989746,15.8581258545,16.3697462158,16.6089046021,16.6584069824,16.2825074701
2660BP,16.824104248,16.9034017334,17.3557989502,17.7441466675,17.8047937012,17.3463103724
2640BP,16.4311965332,16.5214498291,17.1943001709,17.6975492554,17.8040002441,17.1424870259
2620BP,15.8657058105,15.9218282471,16.4409490967,16.7672545776,16.8374047852,16.378889178
2600BP,17.0466994629,17.1145726929,17.8648537598,18.4229185181,18.4669946289,17.8245451688
2580BP,16.2201003418,16.3468007813,16.9895943604,17.5627668457,17.6609887695,16.9844925156
2560BP,16.278199707,16.3811986694,17.0190957031,17.515421875,17.5791955566,16.9952607933
2540BP,15.4836013184,15.5553502808,16.2396462402,16.606550415,16.681697998,16.143326478
2520BP,15.5707961426,15.639973999,16.2638466797,16.5874494629,16.6573999023,16.1728529977
2500BP,15.023701416,15.1214269409,15.7952553711,16.2842268066,16.3652001953,15.7500521745
2480BP,15.7872939453,15.9042684326,16.5922493896,17.2169996338,17.2959985352,16.5957023731
2460BP,16.3844008789,16.5015279541,17.1561531982,17.6522428589,17.7519921875,17.1175443355
2440BP,15.9420974121,16.0621709595,16.8128548584,17.4108274536,17.5000024414,16.784283495
2420BP,15.5052016602,15.5968267212,16.2777504883,16.69756604,16.7557885742,16.21311984
2400BP,16.6458937988,16.7731921997,17.6335977783,18.2921462402,18.397097168,17.582111535
2380BP,16.1509963379,16.2359761963,16.9313057861,17.3247205811,17.406496582,16.8422457118
2360BP,16.136189209,16.2201421509,16.803699585,17.2465025024,17.3111047363,16.7730753677
2340BP,15.9757033691,16.119055542,16.8253977051,17.4183242187,17.5085961914,16.8134403835
2320BP,15.0879958496,15.1812703857,15.8482460937,16.2705717163,16.343392334,15.7836562796
2300BP,16.1214980469,16.2255742798,16.8031472168,17.328451355,17.3943017578,16.8087242473
