Year,Minimum,5th Percentile,Median,95th Percentile,Maximum,Area Mean
13440BP,13.4421950684,13.6380727539,16.090152832,17.4863981323,17.6548974609,15.7954527463
13420BP,12.9917067871,13.1567556152,15.4382973633,17.0317792969,17.2365075684,15.2437535832
13400BP,13.9364089355,14.140982605,16.4115975342,17.4400755005,17.5901025391,16.0555035856
13380BP,12.5203078613,12.6311574707,14.8182478027,16.146670105,16.2715905762,14.5751167814
13360BP,13.2971999512,13.4568517456,15.6531014404,16.8196928101,16.9483911133,15.3636022555
13340BP,13.2797011719,13.4359517822,15.8249489746,17.3445264893,17.5326989746,15.5740066139
13320BP,13.6328994141,13.7892980347,15.9408455811,17.1768735962,17.359395752,15.6690004291
13300BP,13.2930007324,13.4408513794,15.4997963867,16.6658018188,16.8359033203,15.2352845641
13280BP,13.4601882324,13.5925649414,15.9276009521,17.4241987305,17.6006982422,15.6842230583
13260BP,13.8509047852,14.0407277832,16.2006513672,17.226055481,17.3879052734,15.8702661062
13240BP,13.2162062988,13.3588536987,15.4412484131,16.5333051758,16.6774072266,15.1508355117
13220BP,13.6820021973,13.882678772,16.2269936523,17.6368528442,17.8408044434,15.9587970032
13200BP,13.69459375,13.8938482056,16.2500039062,17.6232038574,17.8153039551,15.9692192909
13180BP,13.5038039551,13.6517797241,15.9038491211,17.2393217163,17.4167993164,15.6335457117
13160BP,12.6966994629,12.853822876,15.1100472412,16.4832746582,16.659798584,14.8552781958
13140BP,13.20240625,13.3846791992,15.67725,16.9163480835,17.1047998047,15.3668095086
13120BP,13.8464919434,13.9968465576,16.4151497803,17.8964292603,18.0894067383,16.1383407763
13100BP,13.4850905762,13.7194417725,15.9829018555,17.0566938477,17.2239953613,15.6476375532
13080BP,15.2807021484,15.6307775269,17.8644539795,18.7110471802,18.889095459,17.4882446435
13060BP,14.3253005371,14.6152486572,16.7541512451,17.7663145142,17.9412866211,16.4498675644
13040BP,14.8638930664,15.1523427734,17.3641518555,18.3937788086,18.5660058594,17.0431112959
13020BP,13.7408034668,14.0303258667,16.2294472656,17.2885053711,17.4279077148,15.9359854508
13000BP,13.6723037109,13.946401001,16.1960030518,17.235671814,17.3991967773,15.8661456271
12980BP,14.311994873,14.653772522,17.0301491699,18.296444519,18.4936914062,16.7459347535
12960BP,13.8306044922,14.1286504517,16.2938027344,17.4371992187,17.6438989258,16.0171199126
12940BP,14.1708876953,14.4430440674,16.6709053955,17.846432312,18.0224084473,16.3905452263
12920BP,13.7204970703,14.0197255859,16.18634729,17.1854459839,17.3591943359,15.870972636
12900BP,13.0120009766,13.3076238403,15.1052529297,16.0335004883,16.1975,14.8835007662
12880BP,12.298902832,12.6551259766,14.443543335,15.8336958008,16.0558984375,14.3799180091
12860BP,11.7998000488,12.1608510742,14.1787423096,15.8232954102,16.0581933594,14.1277305579
12840BP,11.4373916016,11.808069397,13.6155523682,15.1011306152,15.3730065918,13.5637965301
12820BP,11.8060927734,12.2028447876,14.1716469727,16.04471875,16.3349938965,14.2057635137
12800BP,12.2280043945,12.6501043091,14.6614449463,16.2736234741,16.5785974121,14.5928765177
12780BP,11.7349013672,12.1003011475,13.844901123,15.1553771362,15.3909020996,13.7646088379
12760BP,11.3472060547,11.7381307373,13.5668496094,15.09524823,15.3779992676,13.5267019197
12740BP,12.1332961426,12.5420476685,14.5721474609,16.2747816162,16.5419091797,14.5391044562
12720BP,11.3675124512,11.7749606934,13.6816019287,15.2323516235,15.4900048828,13.6355040026
12700BP,11.5750930176,11.9506185303,13.7746987305,15.4266050415,15.7168054199,13.7718179584
12680BP,11.8258010254,12.2150762329,14.2006966553,15.8184232788,16.0811975098,14.148120412
12660BP,11.8311049805,12.214430603,14.3477884521,16.0187529907,16.2685021973,14.2599770601
12640BP,11.6763991699,12.0302724609,13.8414986572,15.4782713013,15.7238977051,13.847531274
12620BP,11.1457961426,11.5472997437,13.5848061523,15.2989729004,15.597298584,13.5394786347
12600BP,11.3969985352,11.7657262573,13.4679482422,14.7332716064,14.9549951172,13.3922489617
12580BP,11.635609375,12.0480809937,14.0003029785,15.8069776611,16.0820031738,14.0264359322
12560BP,12.0690932617,12.4684192505,14.4560953369,15.9316970215,16.1921960449,14.3544796056
12540BP,11.4969008789,11.8474506226,13.5829019775,14.9981002197,15.2227990723,13.5378090585
12520BP,10.8518996582,11.2537984619,13.1956520996,14.8932706909,15.1541955566,13.1897420315
12500BP,11.5950026855,12.0183278809,14.0287026367,15.7210493164,16.0167993164,13.9913293491
12480BP,11.1110976563,11.4023000488,12.9301522217,13.9698209839,14.1495935059,12.8248406602
12460BP,11.9481032715,12.3381519165,14.1679516602,15.5827756958,15.8242028809,14.1014697328
12440BP,11.628401123,12.0176503906,13.8770943604,15.5644254761,15.8376000977,13.8847988429
12420BP,12.3058059082,12.726604248,14.7241402588,16.5412489014,16.8136987305,14.7438749395
12400BP,10.9236037598,11.2580281982,12.8008583984,14.1999189453,14.4199914551,12.8127245403
12380BP,11.1601027832,11.5536016235,13.4128457031,15.132848938,15.3762963867,13.4448105724
12360BP,11.9124038086,12.3289022217,14.3204476318,16.1027937012,16.4169946289,14.3121553253
12340BP,11.5283034668,11.8822772827,13.765696167,15.1909636841,15.4475854492,13.6661158663
12320BP,11.1182021484,11.4891515503,13.3328469238,15.0054716187,15.271895752,13.3386136014
12300BP,11.6698989258,12.0483007202,14.0200905762,15.7135740356,15.959798584,14.0019923515
12280BP,11.986592041,12.373894104,14.4135996094,15.9664534912,16.2498010254,14.3087564896
12260BP,10.7929030762,11.1867542114,12.9623059082,14.6884458618,14.9572961426,13.0131330981
12240BP,11.6789992676,12.0744983521,14.1341959229,15.7966689453,16.0912927246,14.059096505
12220BP,11.1350966797,11.4951236572,13.2111002197,14.6146697388,14.8652978516,13.1640909382
12200BP,11.4096083984,11.8105306396,13.7729500732,15.5012037354,15.7864038086,13.7616720798
12180BP,11.3769912109,11.7958669434,13.8628548584,15.7227994995,16.0058007812,13.8706973718
12160BP,11.0524978027,11.566145874,13.9412545166,16.4127241211,16.7785974121,14.0594845412
12140BP,11.1299025879,11.5396016846,13.6208016357,15.5797575073,15.8979089355,13.6423895754
12120BP,11.0380874023,11.4193181763,13.3743508301,15.153223999,15.4373986816,13.3778421903
12100BP,10.997706543,11.4170307007,13.3488995361,15.1641050415,15.4751062012,13.3728675097
12080BP,12.6445083008,13.0289798584,15.271756958,16.9973952637,17.2739953613,15.1580027189
12060BP,12.3229995117,12.7785482178,14.8876503906,16.7295820312,17.0110070801,14.8858883423
12040BP,11.6682998047,12.098050293,14.2375500488,16.0269743042,16.3485986328,14.1834708001
12020BP,11.6841079102,12.0970813599,14.0475961914,15.6313048706,15.9159082031,13.9920583071
12000BP,11.8223891602,12.2132161865,14.191791626,15.990975769,16.2993005371,14.1881893009
11980BP,12.8226027832,13.1728748169,14.8794567871,16.2140043335,16.4454064941,14.8156611223
11960BP,12.0169936523,12.3563710938,13.9924508057,15.3647977905,15.5963952637,13.9632557631
11940BP,12.6219985352,13.0142263184,14.994550415,16.8446989136,17.1339990234,15.0168298925
11920BP,12.0586013184,12.4383016357,14.3152993164,15.9657285767,16.2499047852,14.2983157916
11900BP,11.6592055664,12.0176549683,13.7275002441,15.2882246094,15.5618005371,13.7299679116
11880BP,11.8973952637,12.2603460083,14.1007454834,15.7739683228,16.0210900879,14.1124252518
11860BP,12.1321975098,12.5288259277,14.5287056885,16.2895200806,16.5604943848,14.5207295633
11840BP,11.8833083496,12.2115056763,14.0404000244,15.6212049561,15.8678063965,14.0144650811
11820BP,11.7977980957,12.09762323,13.6977486572,15.0335279541,15.2601037598,13.6578031394
11800BP,12.2141982422,12.5423223267,14.2384438477,15.6745557861,15.9043054199,14.2100857375
11780BP,12.103401123,12.4661748657,14.2449471436,15.9900724487,16.2647973633,14.2913178904
11760BP,12.1368056641,12.429427124,13.9836495361,15.0776594238,15.2690148926,13.8853240822
11740BP,12.5669875488,12.8758184204,14.5061928711,15.7892255859,15.9656030273,14.4600687211
11720BP,12.0798964844,12.4071447144,14.0806008301,15.3728513794,15.5787011719,14.017866638
11700BP,12.4279067383,12.7588277588,14.3118050537,15.5801725464,15.7965966797,14.2750186649
11680BP,11.7479995117,12.0386235962,13.5626473389,14.8090986328,15.0259973145,13.5167877757
11660BP,12.4202102051,12.7392095337,14.3426552734,15.756147583,16.0020959473,14.3262789208
11640BP,11.9901015625,12.3016011963,13.7126501465,14.8593703613,15.0481958008,13.6822969939
11620BP,11.9577956543,12.2301213989,13.7845986328,14.9205442505,15.1096948242,13.6955594365
11600BP,12.5371962891,12.9101720581,14.7131051025,16.3558988647,16.6113000488,14.7254697021
11580BP,12.3728041992,12.7032018433,14.3295540771,15.574242981,15.7814904785,14.2651680573
